id,session_id,logged_in,club_id,club_name,clubgroup_name,company_name,active_club,active_company,admodel,sid,valid,suspect,sale_amt,base,logo,featured,sent_shipment,conversion_pixel,discount,upcharge,total,clicked_at,landed_at,charged_at,converted_at,invoiced_at,http_referer,user_agent,notes,clubgroup_id,company_id,ip_address,last_activity,session_archive_id,session_sid,tid,ver,utm_content,utm_campaign,utm_source,utm_term,user_query,user_data,position,platform,gclid,session_notes,,
47437,608d5c766d59556ad5fc806dab41e630,0,1014,,WSJwine Wine Club,Wall Street Journal Wine,1,1,4,,1,0,NULL,0,0,0,0,0,0,0,0,10/1/2011 1:05,NULL,NULL,NULL,NULL,internal,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8,NULL,83,121,109.200.20.14,10/1/2011 3:05,608d5c766d59556ad5fc806dab41e630,,131,a,,,,,empty,"a:7:{s:9:\firstpage\"";s:21:\""/clicks/outbound/1014\"";s:17:\""firstpage_referer\"";s:8:\""internal\"";s:10:\""user_query\"";s:5:\""empty\"";s:3:\""sid\"";s:0:\""\"";s:3:\""tid\"";s:3:\""131\"";s:3:\""ver\"";s:1:\""a\"";s:9:\""page_hits\"";a:1:{i:0;s:10:\""1317452727\"";}}""",,,,NULL,,
47438,d3efe8ed39df990523991c82f53b0077,0,1004,12-month Gift,The Classic Series Wine Club,Wine of the Month Club &reg;,1,1,3,,0,1,NULL,0,0,0,0,0,0,0,0,10/1/2011 1:14,NULL,NULL,NULL,NULL,internal,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),click_id : click is from a known bot ip,70,101,111.13.8.22,10/1/2011 3:14,d3efe8ed39df990523991c82f53b0077,,131,a,,,,,empty,"a:7:{s:9:\firstpage\"";s:21:\""/clicks/outbound/1004\"";s:17:\""firstpage_referer\"";s:8:\""internal\"";s:10:\""user_query\"";s:5:\""empty\"";s:3:\""sid\"";s:0:\""\"";s:3:\""tid\"";s:3:\""131\"";s:3:\""ver\"";s:1:\""a\"";s:9:\""page_hits\"";a:1:{i:0;s:10:\""1317453276\"";}}""",,,,NULL,,
47439,6a24df600f36279291635b7406f60871,0,1292,,Laithwaites Wine Club,Laithwaites Wine,1,1,4,,1,0,NULL,0,0,0,0,0,0,0,0,10/1/2011 1:25,NULL,NULL,NULL,NULL,internal,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8,NULL,114,132,64.120.171.95,10/1/2011 3:25,6a24df600f36279291635b7406f60871,,131,a,,,,,empty,"a:7:{s:9:\firstpage\"";s:21:\""/clicks/outbound/1292\"";s:17:\""firstpage_referer\"";s:8:\""internal\"";s:10:\""user_query\"";s:5:\""empty\"";s:3:\""sid\"";s:0:\""\"";s:3:\""tid\"";s:3:\""131\"";s:3:\""ver\"";s:1:\""a\"";s:9:\""page_hits\"";a:1:{i:0;s:10:\""1317453946\"";}}""",,,,NULL,,
47440,e497e4bfb9ac89fb0684633c7466111b,0,1001,,The Classic Series Wine Club,Wine of the Month Club &reg;,1,1,3,,1,0,NULL,0,0,0,0,0,0,0,0,10/1/2011 1:57,NULL,NULL,NULL,NULL,http://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=wine+of+the+month+club&x=0&y=0,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.186 Safari/535.1",NULL,70,101,67.175.244.183,10/1/2011 3:55,e497e4bfb9ac89fb0684633c7466111b,,131,a,reviews-5,Phrase,msn,the%20wine%20of%20the%20month%20club,wine of the month club,"a:13:{s:9:\firstpage\"";s:132:\""/wine_clubs/top5/people.html/?utm_source=msn&utm_term=the%20wine%20of%20the%20month%20club&utm_campaign=Phrase&utm_content=reviews-5\"";s:17:\""firstpage_referer\"";s:107:\""http://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=wine+of+the+month+club&x=0&y=0\"";s:10:\""user_query\"";s:22:\""wine of the month club\"";s:3:\""sid\"";s:0:\""\"";s:3:\""tid\"";s:3:\""131\"";s:3:\""ver\"";s:1:\""a\"";s:9:\""page_hits\"";a:1:{i:0;s:10:\""1317455706\"";}s:5:\""state\"";s:0:\""\"";s:4:\""sort\"";s:2:\""ff\"";s:14:\""state_lightbox\"";s:1:\""0\"";s:8:\""bottles2\"";s:12:\""checked=\""on\""\"";s:8:\""bottles3\"";s:12:\""checked=\""on\""\"";s:8:\""bottles4\"";s:12:\""checked=\""on\""\"";}""",,,,NULL,,
47441,e078f97ec9eb1214495a5016aa9f9926,0,1009,,The Limited Series Wine Club,Wine of the Month Club &reg;,1,1,4,,1,0,NULL,0,0,0,0,0,0,0,0,10/1/2011 2:11,NULL,NULL,NULL,NULL,http://www.google.com/url?sa=t&source=web&cd=3&ved=0CHQQFjAC&url=http%3A%2F%2Fwww.wineclubreviews.net%2Fwine_clubs%2FshipstoHI&rct=j&q=wine%20of%20the%20month%20club%20hawaii&ei=ZsqGTujDJZCb1AX8gMUB&usg=AFQjCNHuVK9XyYTszrWMupjMbDYYYrIbUQ,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 1.1.4322; .NET4.0C; .NET4.0E),NULL,73,101,214.15.217.73,10/1/2011 4:08,e078f97ec9eb1214495a5016aa9f9926,,131,a,,,GoogleOrganic,,wine of the month club hawaii,"a:13:{s:9:\firstpage\"";s:21:\""/wine_clubs/shipstoHI\"";s:17:\""firstpage_referer\"";s:237:\""http://www.google.com/url?sa=t&source=web&cd=3&ved=0CHQQFjAC&url=http%3A%2F%2Fwww.wineclubreviews.net%2Fwine_clubs%2FshipstoHI&rct=j&q=wine%20of%20the%20month%20club%20hawaii&ei=ZsqGTujDJZCb1AX8gMUB&usg=AFQjCNHuVK9XyYTszrWMupjMbDYYYrIbUQ\"";s:10:\""user_query\"";s:29:\""wine of the month club hawaii\"";s:3:\""sid\"";s:0:\""\"";s:3:\""tid\"";s:3:\""131\"";s:3:\""ver\"";s:1:\""a\"";s:9:\""page_hits\"";a:1:{i:0;s:10:\""1317456528\"";}s:4:\""sort\"";s:2:\""ff\"";s:5:\""state\"";s:0:\""\"";s:14:\""state_lightbox\"";s:1:\""0\"";s:8:\""bottles2\"";s:12:\""checked=\""on\""\"";s:8:\""bottles3\"";s:12:\""checked=\""on\""\"";s:8:\""bottles4\"";s:12:\""checked=\""on\""\"";}""",,,,NULL,,
47442,da156b50bc9c6cdb10a534f1082ab037,0,1013,,4 Seasons Wine Club,4 Seasons Wine,1,1,4,,1,0,NULL,0,0,0,0,0,0,0,0,10/1/2011 2:22,NULL,NULL,NULL,NULL,http://www.google.com/search?hl=en&client=ms-palm-webOS&channel=iss&q=wine+club+reviews&revid=700896299&sa=X&ei=fcqGTub8CuepsAKvhZWcDw&ved=0CHAQ1QIoAA,"Mozilla/5.0 (hp-tablet; Linux; hpwOS/3.0.2; U; en-US) AppleWebKit/534.6 (KHTML, like Gecko) wOSBrowser/234.40.1 Safari/534.6 TouchPad/1.0",NULL,1,102,174.74.61.234,10/1/2011 4:17,da156b50bc9c6cdb10a534f1082ab037,,131,a,reviews-1,Phrase,ggl,wine%20club%20reviews,wine club reviews,"a:13:{s:9:\firstpage\"";s:151:\""/wine_clubs/top5/overall.html/?utm_source=ggl&utm_term=wine%20club%20reviews&utm_campaign=Phrase&utm_content=reviews-1&gclid=CJXD_OuEx6sCFWdjTAodridi1g\"";s:17:\""firstpage_referer\"";s:150:\""http://www.google.com/search?hl=en&client=ms-palm-webOS&channel=iss&q=wine+club+reviews&revid=700896299&sa=X&ei=fcqGTub8CuepsAKvhZWcDw&ved=0CHAQ1QIoAA\"";s:10:\""user_query\"";s:17:\""wine club reviews\"";s:3:\""sid\"";s:0:\""\"";s:3:\""tid\"";s:3:\""131\"";s:3:\""ver\"";s:1:\""a\"";s:9:\""page_hits\"";a:1:{i:0;s:10:\""1317456749\"";}s:5:\""state\"";s:2:\""IL\"";s:4:\""sort\"";s:2:\""ff\"";s:14:\""state_lightbox\"";s:1:\""0\"";s:8:\""bottles2\"";s:12:\""checked=\""on\""\"";s:8:\""bottles3\"";s:12:\""checked=\""on\""\"";s:8:\""bottles4\"";s:12:\""checked=\""on\""\"";}""",,,,NULL,,
47443,2043f78b9f731937a3a6db6afa915fda,0,1002,4-month Gift,The Classic Series Wine Club,Wine of the Month Club &reg;,1,1,3,,1,0,NULL,0,0,0,0,0,0,0,0,10/1/2011 5:44,NULL,NULL,NULL,NULL,http://www.bing.com/search?q=virgin+wines&x=0&y=0&form=MSNH14&qs=n&sk=&qs=AS&sk=&pq=milwaukee+movies&sp=1&sc=8-16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.50 (KHTML, like Gecko) Version/5.1 Safari/534.50",NULL,70,101,184.58.155.150,10/1/2011 7:44,2043f78b9f731937a3a6db6afa915fda,,131,a,virgin-1,Specific,msn,virgin%20wines,virgin wines,"a:14:{s:9:\firstpage\"";s:154:\""/wine_clubs/reviews/Virgin_Wines/Virgin_Wine_Club/wine_club_review.html/?utm_source=msn&utm_campaign=Specific&utm_content=virgin-1&utm_term=virgin%20wines\"";s:17:\""firstpage_referer\"";s:113:\""http://www.bing.com/search?q=virgin+wines&x=0&y=0&form=MSNH14&qs=n&sk=&qs=AS&sk=&pq=milwaukee+movies&sp=1&sc=8-16\"";s:10:\""user_query\"";s:12:\""virgin wines\"";s:3:\""sid\"";s:0:\""\"";s:3:\""tid\"";s:3:\""131\"";s:3:\""ver\"";s:1:\""a\"";s:9:\""page_hits\"";a:1:{i:0;s:10:\""1317468637\"";}s:4:\""sort\"";s:2:\""ff\"";s:5:\""state\"";s:0:\""\"";s:14:\""state_lightbox\"";s:1:\""0\"";s:8:\""bottles2\"";s:12:\""checked=\""on\""\"";s:8:\""bottles3\"";s:12:\""checked=\""on\""\"";s:8:\""bottles4\"";s:12:\""checked=\""on\""\"";s:13:\""query_matched\"";s:1:\""1\"";}""",,,,NULL,,
47444,8ac997b571eccd0860194d30c6dea40f,0,1124,Gift,International Wine Club,Cellars Wine Club,1,1,4,,1,0,192.9,0,0,0,0,0,0,0,38.58,10/1/2011 6:00,NULL,NULL,10/1/2011 8:17,NULL,http://www.google.com/url?sa=t&source=web&cd=1&ved=0CGcQFjAA&url=http%3A%2F%2Fwww.wineclubreviews.net%2F&rct=j&q=wine%20club%20reviews&ei=ZQCHTuqxOIG80AGt57jXDw&usg=AFQjCNFIkKmSWCH79wmmCBO1MjQNqz7jpg,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.50 (KHTML, like Gecko) Version/5.1 Safari/534.50",NULL,31,111,66.108.208.242,10/1/2011 8:11,8ac997b571eccd0860194d30c6dea40f,,131,a,,,GoogleOrganic,,wine club reviews,"a:13:{s:9:\firstpage\"";s:0:\""\"";s:17:\""firstpage_referer\"";s:199:\""http://www.google.com/url?sa=t&source=web&cd=1&ved=0CGcQFjAA&url=http%3A%2F%2Fwww.wineclubreviews.net%2F&rct=j&q=wine%20club%20reviews&ei=ZQCHTuqxOIG80AGt57jXDw&usg=AFQjCNFIkKmSWCH79wmmCBO1MjQNqz7jpg\"";s:10:\""user_query\"";s:17:\""wine club reviews\"";s:3:\""sid\"";s:0:\""\"";s:3:\""tid\"";s:3:\""131\"";s:3:\""ver\"";s:1:\""a\"";s:9:\""page_hits\"";a:1:{i:0;s:10:\""1317470340\"";}s:4:\""sort\"";s:2:\""ff\"";s:5:\""state\"";s:0:\""\"";s:14:\""state_lightbox\"";s:1:\""0\"";s:8:\""bottles2\"";s:12:\""checked=\""on\""\"";s:8:\""bottles3\"";s:12:\""checked=\""on\""\"";s:8:\""bottles4\"";s:12:\""checked=\""on\""\"";}""",,,,NULL,,
47445,02caee88325ce1b8951ae2fd0f9ae257,0,1001,,The Classic Series Wine Club,Wine of the Month Club &reg;,1,1,3,,1,0,NULL,0,0,0,0,0,0,0,0,10/1/2011 6:31,NULL,NULL,NULL,NULL,http://www.google.com/aclk?sa=L&ai=C-vAoPwWHTp35Gaei0AHHxPGWDZKe5YkCworT2xaPybBKCAAQAigDULq-17L6_____wFgyfb9iISk7A_IAQGqBBZP0AbGrGiJxK80HM7tMFyGXGyV9bqw&sig=AOD64_1t6kK96OJp8N9Sko7BhZMexSev1w&ved=0CA0Q0Qw&adurl=http://www.wineclubreviews.net/wine_clubs/top,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.23) Gecko/20110920 Firefox/3.6.23,NULL,70,101,66.31.159.137,10/1/2011 8:36,02caee88325ce1b8951ae2fd0f9ae257,,131,a,reviews-1,Phrase,ggl,wine%20club%20of%20the%20month,wine club of the month,"a:13:{s:9:\firstpage\"";s:160:\""/wine_clubs/top5/overall.html/?utm_source=ggl&utm_term=wine%20club%20of%20the%20month&utm_campaign=Phrase&utm_content=reviews-1&gclid=CMa26pK8x6sCFcZx5QodLHPp1w\"";s:17:\""firstpage_referer\"";s:430:\""http://www.google.com/aclk?sa=L&ai=C-vAoPwWHTp35Gaei0AHHxPGWDZKe5YkCworT2xaPybBKCAAQAigDULq-17L6_____wFgyfb9iISk7A_IAQGqBBZP0AbGrGiJxK80HM7tMFyGXGyV9bqw&sig=AOD64_1t6kK96OJp8N9Sko7BhZMexSev1w&ved=0CA0Q0Qw&adurl=http://www.wineclubreviews.net/wine_clubs/top5/overall.html%3Futm_source%3Dggl%26utm_term%3Dwine%2520club%2520of%2520the%2520month%26utm_campaign%3DPhrase%26utm_content%3Dreviews-1&rct=j&q=wine%20club%20of%20the%20month\"";s:10:\""user_query\"";s:22:\""wine club of the month\"";s:3:\""sid\"";s:0:\""\"";s:3:\""tid\"";s:3:\""131\"";s:3:\""ver\"";s:1:\""a\"";s:9:\""page_hits\"";a:1:{i:0;s:10:\""1317471594\"";}s:5:\""state\"";s:0:\""\"";s:4:\""sort\"";s:2:\""ff\"";s:14:\""state_lightbox\"";s:1:\""0\"";s:8:\""bottles2\"";s:12:\""checked=\""on\""\"";s:8:\""bottles3\"";s:12:\""checked=\""on\""\"";s:8:\""bottles4\"";s:12:\""checked=\""on\""\"";}""",,,,NULL,,
47446,02caee88325ce1b8951ae2fd0f9ae257,0,1189,Red Wine Only (2 bottles),Gold Series Wine Club,Gold Medal Wine Club,1,1,3,,1,0,NULL,0,0,0,0,0,0,0,0,10/1/2011 6:35,NULL,NULL,NULL,NULL,http://www.google.com/aclk?sa=L&ai=C-vAoPwWHTp35Gaei0AHHxPGWDZKe5YkCworT2xaPybBKCAAQAigDULq-17L6_____wFgyfb9iISk7A_IAQGqBBZP0AbGrGiJxK80HM7tMFyGXGyV9bqw&sig=AOD64_1t6kK96OJp8N9Sko7BhZMexSev1w&ved=0CA0Q0Qw&adurl=http://www.wineclubreviews.net/wine_clubs/top,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.23) Gecko/20110920 Firefox/3.6.23,NULL,27,114,66.31.159.137,10/1/2011 8:36,02caee88325ce1b8951ae2fd0f9ae257,,131,a,reviews-1,Phrase,ggl,wine%20club%20of%20the%20month,wine club of the month,"a:13:{s:9:\firstpage\"";s:160:\""/wine_clubs/top5/overall.html/?utm_source=ggl&utm_term=wine%20club%20of%20the%20month&utm_campaign=Phrase&utm_content=reviews-1&gclid=CMa26pK8x6sCFcZx5QodLHPp1w\"";s:17:\""firstpage_referer\"";s:430:\""http://www.google.com/aclk?sa=L&ai=C-vAoPwWHTp35Gaei0AHHxPGWDZKe5YkCworT2xaPybBKCAAQAigDULq-17L6_____wFgyfb9iISk7A_IAQGqBBZP0AbGrGiJxK80HM7tMFyGXGyV9bqw&sig=AOD64_1t6kK96OJp8N9Sko7BhZMexSev1w&ved=0CA0Q0Qw&adurl=http://www.wineclubreviews.net/wine_clubs/top5/overall.html%3Futm_source%3Dggl%26utm_term%3Dwine%2520club%2520of%2520the%2520month%26utm_campaign%3DPhrase%26utm_content%3Dreviews-1&rct=j&q=wine%20club%20of%20the%20month\"";s:10:\""user_query\"";s:22:\""wine club of the month\"";s:3:\""sid\"";s:0:\""\"";s:3:\""tid\"";s:3:\""131\"";s:3:\""ver\"";s:1:\""a\"";s:9:\""page_hits\"";a:1:{i:0;s:10:\""1317471594\"";}s:5:\""state\"";s:0:\""\"";s:4:\""sort\"";s:2:\""ff\"";s:14:\""state_lightbox\"";s:1:\""0\"";s:8:\""bottles2\"";s:12:\""checked=\""on\""\"";s:8:\""bottles3\"";s:12:\""checked=\""on\""\"";s:8:\""bottles4\"";s:12:\""checked=\""on\""\"";}""",,,,NULL,,
